Name	Rarity	Type	Sub-Type	Class	Cost	Attack	HP	CanGet	Decription
Kabal Chemist	Common	Minion	General	Mage, Priest, Warlock	4	3	3	true	Battlecry: Add a random Potion to your hand.Sure you could have that Polymorph potion, but wouldn't you rather have this mystery potion?  It could be anything.  Even a Polymorph potion!
Kabal Lackey	Common	Minion	General	Mage	1	2	1	true	Battlecry: The next Secret you play this turn costs (0).I'll tell you one thing he doesn't lack: GUMPTION.
Kabal Songstealer	Common	Minion	General	Priest	5	5	5	true	Battlecry: Silence a minion.Gadgetzan Writer’s Award goes to the player who writes the most compelling fanfic about why this Arrakoa has a golden frog in his hand!
Kabal Talonpriest	Common	Minion	General	Priest	3	3	4	true	Battlecry: Give a friendly minion +3 Health.Inkmaster Solia had to figure out how to tatoo feathers.
Kara Kazham!	Common	Spell		Warlock	5	-1	-1	true	Summon a 1/1 Candle, 2/2 Broom, and 3/3 Teapot.This is what happens when you tell Khadgar to set the table.
Kindly Grandmother	Common	Minion	Beast	Hunter	2	1	1	true	Deathrattle: Summon a 3/2 Big Bad Wolf."Goodness! What… abundant drool you have."
Kobold Apprentice	Common	Minion	General	Any	3	2	1	true	Battlecry: Deal 3 damage randomly split among all enemies.Horrible secret: The Darkness is immune to Arcane Missiles.
Kobold Hermit	Common	Minion	General	Shaman	2	1	1	true	Battlecry: Choose a basic Totem. Summon it.To truly understand candles, it takes YEARS of quiet contemplation.
Kobold Librarian	Common	Minion	General	Warlock	1	2	1	true	Battlecry: Draw a card. Deal 2 damage to your hero.Kobolds sort books using a gooey decimal system.
Kooky Chemist	Common	Minion	General	Any	4	4	4	true	Battlecry: Swap the Attack and Health of a minion.#abs
Lakkari Felhound	Common	Minion	Demon	Warlock	4	3	8	true	TauntBattlecry: Discard two random cards.Guaranteed to track tar all over your carpet.
Leeching Poison	Common	Spell		Rogue	2	-1	-1	true	Give your weapon Lifesteal.No actual leeches were harmed in the creation of this card.
Leper Gnome	Common	Minion	General	Any	1	1	1	true	Deathrattle: Deal 2 damage to the enemy hero.He really just wants to be your friend, but the constant rejection is starting to really get to him.
Lightning Bolt	Common	Spell		Shaman	1	-1	-1	true	Deal 3 damage. Overload: (1)Lightning Bolt! Lightning Bolt! Lightning Bolt!
Lightspawn	Common	Minion	Elemental	Priest	4	0	5	true	This minion's Attack is always equal to its Health.Spawn of the Light? Or Pawn of the Lights?
Loot Hoarder	Common	Minion	General	Any	2	2	1	true	Deathrattle: Draw a card.Always roll need.
Lost in the Jungle	Common	Spell		Paladin	1	-1	-1	true	Summon two 1/1 Silver Hand Recruits.George and Karl were never heard from again.
Mad Bomber	Common	Minion	General	Any	2	3	2	true	Battlecry: Deal 3 damage randomly split between all other characters.He's not really all that crazy, he is just not as careful with explosives as he should be.
Malchezaar's Imp	Common	Minion	Demon	Warlock	1	1	3	true	Whenever you discard a card, draw a card.Malchezaar used to have an imp named Dobby working for him, but there was a tragic accident.
Mana Wyrm	Common	Minion	General	Mage	1	1	3	true	Whenever you cast a spell, gain +1 Attack.These wyrms feed on arcane energies, and while they are generally considered a nuisance rather than a real threat, you really shouldn't leave them alone with a bucket of mana.
Mark of Nature	Common	Spell		Druid	3	-1	-1	true	Choose One - Give a minion +4 Attack; or +4 Health and Taunt.Druids call it the "Mark of Nature."  Everyone else calls it "needing a bath."
Mark of Y'Shaarj	Common	Spell		Druid	2	-1	-1	true	Give a minion +2/+2. If it's a Beast, draw a card.Y'shaarj had three sons: Mark, Theodore, and Chris.
Mark of the Lotus	Common	Spell		Druid	1	-1	-1	true	Give your minions +1/+1.The mark of the Lotus is a little flower drawn in permanent marker on the ankle.
Medivh's Valet	Common	Minion	General	Mage	2	2	3	true	Battlecry: If you control a Secret, deal 3 damage."Magus Medivh sir, I've brought the flaming balloons, as you requested."
Menagerie Magician	Common	Minion	General	Any	5	4	4	true	Battlecry: Give a random Beast, Dragon and Murloc +2/+2.Just between us, if things get tight the Menagerie Magician position will probably be the first to go.
Menagerie Warden	Common	Minion	General	Druid	6	5	5	true	Battlecry: Choose a friendly Beast. Summon a copy of it.Please? Can I keep him? I promise to clean his cage every day.
Mirror Entity	Common	Spell		Mage	3	-1	-1	true	Secret: After your opponent plays a minion, summon a copy of it."You go first." - Krush'gor the Behemoth, to his pet boar.
Mistress of Mixtures	Common	Minion	General	Any	1	2	2	true	Deathrattle: Restore 4 Health to each hero.Her favorite mixture is cola and lime.
Mogu'shan Warden	Common	Minion	General	Any	4	1	7	true	TauntAll these guys ever do is talk about the Thunder King.   BOOOORRRINNG!
N'Zoth's First Mate	Common	Minion	Pirate	Warrior	1	1	1	true	Battlecry: Equip a 1/3 Rusty Hook.Hates when N'Zoth yells "Ahoy Matey!!", but there's not really much he can do about it.
Naga Corsair	Common	Minion	Pirate	Any	4	5	4	true	Battlecry: Give your weapon +1 Attack.Hook-tails are nice and all but she keeps getting stuck on things.
Naturalize	Common	Spell		Druid	1	-1	-1	true	Destroy a minion. Your opponent draws 2 cards.Another one bites the dust.
Necrotic Geist	Common	Minion	General	Any	6	5	3	true	Whenever one of your other minions dies, summon a 2/2 Ghoul.An eye for an eye, and a ghoul for a ghoul.
Nerubian Prophet	Common	Minion	General	Any	6	4	4	true	At the start of your turn, reduce this card's Cost by (1).It’s a self-reducing prophecy.
Nesting Roc	Common	Minion	Beast	Any	5	4	7	true	Battlecry: If you control at least 2 other minions, gain Taunt.Roc eggs are great in omelettes, sandwiches, and as bait to turn poachers into bird food.
Netherspite Historian	Common	Minion	General	Any	2	1	3	true	Battlecry: If you're holding a Dragon, Discover a Dragon.She can tell you all about the history of people not STANDING IN THE GREEN BEAM!
Night Howler	Common	Minion	General	Any	4	3	4	true	Whenever this minion takes damage, gain +2 Attack.Honestly, he howls during the day, too.
Nightbane Templar	Common	Minion	General	Paladin	3	2	3	true	Battlecry: If you're holding a Dragon, summon two 1/1 Whelps.Originally joined to be Arcanagos’ Templar, but has to admit that ordering pizza has become waaaay easier.
Noble Sacrifice	Common	Spell		Paladin	1	-1	-1	true	Secret: When an enemy attacks, summon a 2/1 Defender as the new target.We will always remember you, "Defender!"
Oaken Summons	Common	Spell		Druid	4	-1	-1	true	Gain 6 Armor. Recruit a minion that costs (4) or less.The Guild used oak tress until they all turned to ash.
On the Hunt	Common	Spell		Hunter	1	-1	-1	true	Deal 1 damage. Summon a 1/1 Mastiff.The mastiff giggles if you don't hit any ducks.
Ornery Direhorn	Common	Minion	Beast	Warrior	6	5	5	true	TauntBattlecry: Adapt."It's an herbivore. How dangerous can it be?" - Famous last words
Pantry Spider	Common	Minion	Beast	Any	3	1	3	true	Battlecry: Summon a 1/3 Spider.You have to admit, they make a cute couple.
Plated Beetle	Common	Minion	Beast	Any	2	2	3	true	Deathrattle: Gain 3 Armor."Ok, your party has defeated the beetle." "I put it on my head." "What?" "I put it on my head. Like a hat."
Play Dead	Common	Spell		Hunter	1	-1	-1	true	Trigger a friendly minion's Deathrattle.He's a very literal dog.
Polluted Hoarder	Common	Minion	General	Any	4	4	2	true	Deathrattle: Draw a card.Roll ‘greed’ OR THIS COULD HAPPEN TO YOU.
Pompous Thespian	Common	Minion	General	Any	2	3	2	true	TauntAlas poor Annoy-o-Tron! A fellow of infinite jest, of most excellent fancy!
Possessed Villager	Common	Minion	General	Warlock	1	1	1	true	Deathrattle: Summon a 1/1 Shadowbeast.It's like a pinata! A lame disgusting horrific pinata.
Potion of Heroism	Common	Spell		Paladin	2	-1	-1	true	Give a minion Divine Shield. Draw a card.Also known as "Liquid Courage."
Potion of Madness	Common	Spell		Priest	1	-1	-1	true	Gain control of an enemy minion with 2 or less Attack until the end of the turn.You'd be insane NOT to drink it!
Power Word: Tentacles	Common	Spell		Priest	5	-1	-1	true	Give a minion +2/+6.Because you're wrapped in a protective layer of… tentacles?
Power of the Wild	Common	Spell		Druid	2	-1	-1	true	Choose One - Give your minions +1/+1; or Summon a 3/2 Panther.Never look a panther in the eye.  Or is it 'Always look a panther in the eye'?  Well, it's one of those.
Priest of the Feast	Common	Minion	General	Priest	4	3	6	true	Whenever you cast a spell, restore 3 Health to your hero.Now that's a world champion cheesecake!
Priestess of Elune	Common	Minion	General	Any	6	5	4	true	Battlecry: Restore 4 Health to your hero.If she threatens to "moon" you, it's not what you think.
Primal Fusion	Common	Spell		Shaman	1	-1	-1	true	Give a minion +1/+1 for each of your Totems.Golce and Dabbana have a new line of Earth Totems available at vendors everywhere this holiday season.
Primalfin Lookout	Common	Minion	Murloc	Any	3	3	2	true	Battlecry: If you control another Murloc, Discover a Murloc.Lookout is a self-appointed title that's mostly an excuse to beat things up.
Psionic Probe	Common	Spell		Priest	1	-1	-1	true	Copy a spell in your opponent's deck and add it to your hand.She prefers calling it "Psionic Tickling."
Psych-o-Tron	Common	Minion	Mech	Any	5	3	4	true	Taunt  Divine Shield"Annoyinger-o-Tron" was just too unwieldy. And accurate.
Pterrordax Hatchling	Common	Minion	Beast	Any	3	2	2	true	Battlecry: Adapt.Aww. So cute. Want to feed him another finger?
Public Defender	Common	Minion	General	Warrior	2	0	7	true	TauntHappy to defend any public offender!
Purify	Common	Spell		Priest	2	-1	-1	true	Silence a friendly minion. Draw a card.Even better than a hot shower with vigorous scrubbing!
Radiant Elemental	Common	Minion	Elemental	Priest	2	2	3	true	Your spells cost (1) less.It's a literal lava lamp!
Raging Worgen	Common	Minion	General	Any	3	3	3	true	Enrage: Windfury and +1 AttackIf he's raging now, just wait until he gets nerfed.
Rampage	Common	Spell		Warrior	2	-1	-1	true	Give a damaged minion +3/+3.Minion get ANGRY.   Minion SMASH!
Ravaging Ghoul	Common	Minion	General	Warrior	3	3	3	true	Battlecry: Deal 1 damage to all other minions.But goes by "Ravishing Ghoul" when he hits the club.
Ravasaur Runt	Common	Minion	Beast	Any	2	2	2	true	Battlecry: If you control at least 2 other minions, Adapt.Doesn't like to adapt unless others are watching. Some minions are such show-offs.
Raven Familiar	Common	Minion	Beast	Mage	2	2	2	true	Battlecry: Reveal a spell in each deck. If yours costs more, draw it.
Ravenous Pterrordax	Common	Minion	Beast	Warlock	4	4	4	true	Battlecry: Destroy a friendly minion to Adapt twice.For better results, feed your pterrordax low-fat, high-fiber minions.
Razorpetal Lasher	Common	Minion	General	Rogue	2	2	2	true	Battlecry: Add a Razorpetal to your hand that deals 1 damage.The reason why there are no zombies in Un'goro.
Razorpetal Volley	Common	Spell		Rogue	2	-1	-1	true	Add two Razorpetals to your hand that deal 1 damage.The result of a fundamental misunderstanding of the phrase "flower power".
Red Mana Wyrm	Common	Minion	General	Any	5	2	6	true	Whenever you cast a spell, gain +2 Attack.It has double the Attack. "Go on." And double the Health. "Yes??" And its trigger has twice the effect. "WHAT???" And it costs… Five times more.
Redemption	Common	Spell		Paladin	1	-1	-1	true	Secret: When a friendly minion dies, return it to life with 1 Health.I am not sure how you get demptioned the first time.  It’s a mystery!
Repentance	Common	Spell		Paladin	1	-1	-1	true	Secret: After your opponent plays a minion, reduce its Health to 1.Repentance often comes in the moment before obliteration. Curious.
Righteous Protector	Common	Minion	General	Paladin	1	1	1	true	TauntDivine Shield
Rockpool Hunter	Common	Minion	Murloc	Any	2	2	3	true	Battlecry: Give a friendly Murloc +1/+1.Loves crab meat. Fears crabs.
Runic Egg	Common	Minion	General	Any	1	0	2	true	Deathrattle: Draw a card.Oh man! Runic omelettes are the best!
Sabretooth Stalker	Common	Minion	Beast	Any	6	8	2	true	StealthIt's gotten a bit long in the tooth.
Sanguine Reveler	Common	Minion	General	Warlock	1	1	1	true	Battlecry: Destroy a friendly minion and gain +2/+2.Have some! This drink is to die for!
Sated Threshadon	Common	Minion	Beast	Any	7	5	7	true	Deathrattle: Summon three 1/1 Murlocs.Bet you can't eat just one murloc!
Scarlet Crusader	Common	Minion	General	Any	3	3	1	true	Divine ShieldNever wash your whites with a Scarlet Crusader.
Scavenging Hyena	Common	Minion	Beast	Hunter	2	2	2	true	Whenever a friendly Beast dies, gain +2/+1.Hyenas prefer the bones of kodos or windserpents, but they'll eat pretty much anything.  Even Brussels sprouts.
Sense Demons	Common	Spell		Warlock	3	-1	-1	true	Draw 2 Demons from your deck.Generally demons are pretty obvious and you don’t need a spell to sense them.
Sewer Crawler	Common	Minion	General	Any	3	1	1	true	Battlecry: Summon a 2/3 Giant Rat.His clothing is "ratty" in more ways than one.
Shadow Ascendant	Common	Minion	General	Priest	2	2	2	true	At the end of your turn, give another random friendly minion +1/+1.When you're at the bottom, there's nowhere to ascend, but up.
Shadow Rager	Common	Minion	General	Rogue	3	5	1	true	StealthWE WENT THERE!
Shadow Strike	Common	Spell		Rogue	3	-1	-1	true	Deal 5 damage to an undamaged character.It's like a backstab, only from the front. And with two more stabs.
Shadowstep	Common	Spell		Rogue	0	-1	-1	true	Return a friendly minion to your hand. It costs (2) less.Rogue dance troops will sometimes Shadowstep away at the end of a performance.  Crowds love it.
Shaky Zipgunner	Common	Minion	General	Hunter	3	3	3	true	Deathrattle: Give a random minion in your hand +2/+2.The Grimy Goons can get you any weapon you want but if you want it to not explode you gotta pay extra.
Shatter	Common	Spell		Mage	2	-1	-1	true	Destroy a Frozen minion.What's cooler than being cool?
Shieldbearer	Common	Minion	General	Any	1	0	4	true	TauntHave you seen the size of the shields in this game??  This is no easy job.
Shifting Scroll	Common	Spell		Mage	0	-1	-1	true	Each turn this is in your hand, transform it into a random Mage spell.Next turn, this is going to be AMAZING.
Shimmering Tempest	Common	Minion	Elemental	Mage	2	2	1	true	Deathrattle: Add a random Mage spell to your hand.HATES being summoned for Kirin Tor party lighting.
Shroom Brewer	Common	Minion	General	Any	4	4	4	true	Battlecry: Restore 4 Health.Side effects guaranteed!
Silence	Common	Spell		Priest	0	-1	-1	true	Silence a minion.Reserved for enemy spellcasters, evil liches from beyond the grave, and karaoke nights at the Grim Guzzler.
Silver Hand Knight	Common	Minion	General	Any	5	4	4	true	Battlecry: Summon a 2/2 Squire.It's good to be a knight.   Less so to be one's squire.
Silver Vanguard	Common	Minion	General	Any	7	3	3	true	Deathrattle: Recruit an 8-Cost minion.Float like a Faerie Dragon, sting like a Hivequeen.
Silvermoon Guardian	Common	Minion	General	Any	4	3	3	true	Divine ShieldThe first time they tried to guard Silvermoon against the scourge, it didn’t go so well…
Silvermoon Portal	Common	Spell		Paladin	4	-1	-1	true	Give a minion +2/+2. Summon a random 2-Cost minion.What's Millhouse Manastorm doing in Silvermoon?
Skelemancer	Common	Minion	General	Any	5	2	2	true	Deathrattle: If it's your opponent's turn, summon an 8/8 Skeleton.What do you mean there's no such thing as "Skelemancy?" But "Dinomancy" is ok?
Slam	Common	Spell		Warrior	2	-1	-1	true	Deal 2 damage to a minion.  If it survives, draw a card."Dun da dun, dun da dun": if you've heard an ogre sing this, it's too late.
Sleepy Dragon	Common	Minion	Dragon	Any	9	4	12	true	TauntLocal villagers call her "Naps Under the Mountain."
Smuggler's Crate	Common	Spell		Hunter	1	-1	-1	true	Give a random Beast in your hand +2/+2.Are you sure these are the crates that are supposed to go to the Gadgetzan petting zoo?
Smuggler's Run	Common	Spell		Paladin	1	-1	-1	true	All minions in your hand gain +1/+1.One of the most famous busts in Gadgetzan’s history happened on Smuggler’s Run, where Sergeant Sally apprehended a cadre of Grimy Goons transporting a massive number of illegal fish heads.
Sneaky Devil	Common	Minion	Demon	Any	4	2	2	true	StealthYour other minions have +1 Attack.The result of a tragic accident involving a Defias Thug, a Wand of Polymorph, and a bundle of Fel Lotus.
Snipe	Common	Spell		Hunter	2	-1	-1	true	Secret: After your opponent plays a minion, deal 4 damage to it.A great sniper hits the spot.  Just like a delicious flank of boar. Mmmmm.
Snowflipper Penguin	Common	Minion	Beast	Any	0	1	1	true	On land, a group of penguins is called a "waddle."
Sorcerer's Apprentice	Common	Minion	General	Mage	2	3	2	true	Your spells cost (1) less.Apprentices are great for bossing around.  "Conjure me some mana buns! And a coffee!  Make that a mana coffee!"
Soul of the Forest	Common	Spell		Druid	4	-1	-1	true	Give your minions "Deathrattle: Summon a 2/2 Treant.""Reforestation" is suddenly a terrifying word.
Southsea Deckhand	Common	Minion	Pirate	Any	1	2	1	true	Has Charge while you have a weapon equipped.Pirates are into this new fad called "Planking".
Southsea Squidface	Common	Minion	Pirate	Rogue	4	4	4	true	Deathrattle: Give your weapon +2 Attack.Quick! Before I drown! Let me sharpen your sword for you.
Spawn of N'Zoth	Common	Minion	General	Any	3	2	2	true	Deathrattle: Give your minions +1/+1.Who's a cute widdle N'Zoth? You are! Yes you are! Yes you're the cutest widdle N'Zoth in the whole world!!!
Spellbreaker	Common	Minion	General	Any	4	4	3	true	Battlecry: Silence a minion.Spellbreakers can rip enchantments from magic-wielders.  The process is painless and can be performed on an outpatient basis.
Spellweaver	Common	Minion	General	Any	6	4	4	true	Spell Damage +2Spells offer twice the moisture wicking of cotton.
Spirit Claws	Common	Weapon		Shaman	2	1	3	true	Has +2 Attack while you have Spell Damage.They'll be MUCH easier to use once they add the spirit thumb.
Spirit Lash	Common	Spell		Priest	2	-1	-1	true	LifestealDeal 1 damage to all minions.We've got spirit, yes we do! We've got spirit, stolen from you!
Spiteful Smith	Common	Minion	General	Any	5	4	6	true	Enrage: Your weapon has +2 Attack.She'll craft you a sword, but you'll need to bring her 5 Steel Ingots, 3 Motes of Earth, and the scalp of her last customer.
Squirming Tentacle	Common	Minion	General	Any	3	2	4	true	TauntYeah, I think we can agree that killing the squirming tentacle first is a good idea.
Stand Against Darkness	Common	Spell		Paladin	5	-1	-1	true	Summon five 1/1 Silver Hand Recruits.Or if you're too tired, you can just kind of lean against the darkness.
Stegodon	Common	Minion	Beast	Any	4	2	6	true	TauntLevel 40 Tortollan Paladins quest to tame a Stegodon. There are no level 41 Tortollan Paladins.
Stitched Tracker	Common	Minion	General	Hunter	3	2	2	true	Battlecry: Discover a copy of a minion in your deck.He's just exercising his right to bear arms.
Stoneskin Basilisk	Common	Minion	Beast	Any	3	1	1	true	Divine ShieldPoisonousHe got that way from looking into a mirror.
Stormcrack	Common	Spell		Shaman	2	-1	-1	true	Deal 4 damage to a minion. Overload: (1)WARNING: DO NOT TOUCH THE PURPLE BALL OF LIGHTNING
Stormforged Axe	Common	Weapon		Shaman	2	2	3	true	Overload: (1)Yo, that's a nice axe.
Stormwatcher	Common	Minion	Elemental	Any	7	4	8	true	WindfuryAspiring meteorologist!
Stranglethorn Tiger	Common	Minion	Beast	Any	5	5	5	true	StealthThe wonderful thing about tigers is tigers are wonderful things!
Street Trickster	Common	Minion	Demon	Any	3	0	7	true	Spell Damage +1His first trick: making your wallet disappear!
Streetwise Investigator	Common	Minion	General	Any	5	4	6	true	Battlecry: Enemy minions lose Stealth."Hmmmm… Call it a hunch, but I'm starting to think that there may be some kind of criminal activity going on in Gadgetzan."
Stubborn Gastropod	Common	Minion	Beast	Any	2	1	2	true	TauntPoisonousStubbornly pursuing its dream to become Azeroth's fastest animal!
Sudden Betrayal	Common	Spell		Rogue	2	-1	-1	true	Secret: When a minion attacks your hero, instead it attacks one of its neighbours.You thought he was your bro-bold, but turns out he's your foe-bold.
Summoning Portal	Common	Minion	General	Warlock	4	0	4	true	Your minions cost (2) less, but not less than (1).NOT LESS THAN 1!  Don't get any ideas!
Sunborne Val'kyr	Common	Minion	General	Any	5	5	4	true	Battlecry: Give adjacent minions +2 Health.Bring valor to Odyn's halls, Champion!
Swashburglar	Common	Minion	Pirate	Rogue	1	1	1	true	Battlecry: Add a random class card to your hand (from your opponent's class).Was almost named "Swashb-AAAARRHHH-gler"
Tainted Zealot	Common	Minion	General	Any	2	1	1	true	Divine ShieldSpell Damage +1The love she shares seems to go nowhere. Now she's lost her Light, tosses and turns, she can't sleep at night...
Tanaris Hogchopper	Common	Minion	General	Any	4	4	4	true	Battlecry: If your opponent's hand is empty, gain Charge.The Hogchoppers are well-known throughout Kalimdor for being a real, actual group.
Tar Creeper	Common	Minion	Elemental	Any	3	1	5	true	TauntHas +2 Attack during your opponent's turn.If you won't come to the tar pits, we'll bring them to you!
Tar Lord	Common	Minion	Elemental	Warrior	7	1	11	true	TauntHas +4 Attack during your opponent's turn.Tar Lord, man... legendary monster? Aw, forget it.
Tar Lurker	Common	Minion	Elemental	Warlock	5	1	7	true	TauntHas +3 Attack during your opponent's turn.Hi, Tar here. Long time lurking, first time taunting…
Tauren Warrior	Common	Minion	General	Any	3	2	3	true	Taunt. Enrage: +3 AttackTauren Warrior: Champion of Mulgore, Slayer of Quilboar, Rider of Thunderbluff Elevators.
Temple Enforcer	Common	Minion	General	Priest	6	6	6	true	Battlecry: Give a friendly minion +3 Health.He also moonlights Thursday nights as a bouncer at the Pig and Whistle Tavern.
Tentacle of N'Zoth	Common	Minion	General	Any	1	1	1	true	Deathrattle: Deal 1 damage to all minions.Because EVERYDAY is the Day of the Tentacle of N'zoth.
Thoughtsteal	Common	Spell		Priest	3	-1	-1	true	Copy 2 cards from your opponent's deck and put them into your hand."What do you get when you cast Thoughtsteal on an Orc?  Nothing!" - Tauren joke
Thrallmar Farseer	Common	Minion	General	Any	3	2	3	true	WindfuryHe's stationed in the Hellfire Peninsula, but he's hoping for a reassignment closer to Orgrimmar, or really anywhere the ground is less on fire.
Thunder Lizard	Common	Minion	Beast	Any	3	3	3	true	Battlecry: If you played an Elemental last turn, Adapt.What? THUNDER LIZARD is adapting!
Tidal Surge	Common	Spell		Shaman	4	-1	-1	true	Deal 4 damage to a minion. Restore 4 Health to your hero.Also good for removing pesky stains.
Toothy Chest	Common	Minion	General	Any	3	0	4	true	At the start of your turn, set this minion's Attack to 4.Do you want to eat an adventurer? I want to eat an adventurer!
Tortollan Forager	Common	Minion	General	Druid	2	2	2	true	Battlecry: Add a random minion with 5 or more Attack to your hand.In the Tortollan tongue, Un’goro is known as the “Land of the Lost and Found.”
Tortollan Shellraiser	Common	Minion	General	Priest	4	2	6	true	TauntDeathrattle: Give a random friendly minion +1/+1.A hero... In a half-shell.
Toxic Sewer Ooze	Common	Minion	General	Any	3	4	3	true	Battlecry: Remove 1 Durability from your opponent's weapon.When Sergeant Sally shows up unexpectedly, DO NOT FLUSH YOUR MANA CRYSTALS DOWN THE TOILET.
Trogg Gloomeater	Common	Minion	General	Any	5	1	5	true	TauntPoisonousHis breath smells like agony and despair, which is still better than most troggs.
Tuskarr Fisherman	Common	Minion	General	Any	2	2	3	true	Battlecry: Give a friendly minion Spell Damage +1.If you bring him 500 fish, he'll give you this sweet Kalu'ak Fishing Pole.
Twilight Elder	Common	Minion	General	Any	3	3	4	true	At the end of your turn, give your C'Thun +1/+1 (wherever it is).Just doesn't understand those Twilight Youngsters any more - with their comic books and their rock music.
Twilight Flamecaller	Common	Minion	General	Mage	3	2	2	true	Battlecry: Deal 1 damage to all enemy minionsMake sure you summon a Twilight Marshmallowcaller too! Mmmm Mmm Mmm!!
Twilight Geomancer	Common	Minion	General	Any	2	1	4	true	Taunt. Battlecry: Give your C'Thun Taunt (wherever it is)."Ok C'Thun, repeat after me: 'Your mother was a hamster.'"
Twisted Worgen	Common	Minion	General	Any	2	3	1	true	StealthSometimes the Old Gods' corruptions gives you power untold, sometimes you get +1 Attack. We can’t all be winners in the Eldritch lottery.
Ultrasaur	Common	Minion	Beast	Any	10	7	14	true	Evolved the really long neck to spy on its neighbors.
Unbound Elemental	Common	Minion	Elemental	Shaman	3	2	4	true	Whenever you play a card with Overload, gain +1/+1.Unlike bound elementals, Unbound ones really enjoy a night on the town.
Unidentified Elixir	Common	Spell		Priest	3	-1	-1	true	Give a minion +2/+2.Gains a bonus effect in your hand."Here, taste this." (Slurp) "What is it?" "I don't know, I found it in one of the labs."
Unidentified Shield	Common	Spell		Warrior	6	-1	-1	true	Gain 5 Armor. Gains a bonus effect in your hand.The kobold stared at the bundle for a long time. "Ah hah!" he said. "It's a shield."
Unleash the Hounds	Common	Spell		Hunter	3	-1	-1	true	For each enemy minion, summon a 1/1 Hound with Charge.You must read the name of this card out loud each time you play it.
Usher of Souls	Common	Minion	General	Warlock	5	5	6	true	Whenever a friendly minion dies, give your C'Thun +1/+1 (wherever it is).Nothing unburdens your soul like a good ushing!
Venomancer	Common	Minion	General	Any	5	2	5	true	PoisonousEight times the death of regular-mancers.
Venture Co. Mercenary	Common	Minion	General	Any	5	7	6	true	Your minions cost (3) more.No Job is too big.  No fee is too big.
Verdant Longneck	Common	Minion	Beast	Druid	5	5	4	true	Battlecry: Adapt.Always sticking its neck into other people’s business.
Violet Illusionist	Common	Minion	General	Any	3	4	3	true	During your turn, your hero is Immune.She’s much more cheerful after losing the ‘n’ in her name.
Violet Wurm	Common	Minion	Beast	Any	8	7	7	true	Deathrattle: Summon seven 1/1 Grubs.It's wurms all the way down.
Volatile Elemental	Common	Minion	Elemental	Any	2	1	1	true	Deathrattle: Deal 3 damage to a random enemy minion.Currently in an anger management class with Raging Worgen, Grommash Hellscream, and The Angry Chicken. It isn't helping.
Vryghoul	Common	Minion	General	Any	3	3	1	true	Deathrattle: If it's your opponent's turn, summon a 2/2 Ghoul.It's pronounced VERY GHOUL. Don't let anyone tell you different.
Vulgar Homunculus	Common	Minion	Demon	Warlock	2	2	4	true	TauntBattlecry: Deal 2 damage to your hero.Fortunately he has an even number of fingers.
Wax Elemental	Common	Minion	Elemental	Any	1	0	2	true	TauntDivine ShieldTakes double damage from wick-based weapons
Webweave	Common	Spell		Druid	5	-1	-1	true	Summon two 1/2 Poisonous Spiders.O, what a tangled web we weave, hoping spiders dodge the cleave.
Wicked Skeleton	Common	Minion	General	Any	4	1	1	true	Battlecry: Gain +1/+1 for each minion that died this turn.It's minions like these that give normal, law-abiding skeletons a bad rap.
Wicked Witchdoctor	Common	Minion	General	Shaman	4	3	4	true	Whenever you cast a spell, summon a random basic Totem.You can easily defeat her by either dealing 4 damage, or dropping a house on her.
Windfury Harpy	Common	Minion	General	Any	6	4	5	true	WindfuryHarpies are not pleasant sounding.  That's the nicest I can put it.
Wisp	Common	Minion	General	Any	0	1	1	true	If you hit an Eredar Lord with enough Wisps, it will explode.   But why?
Worgen Greaser	Common	Minion	General	Any	4	6	3	true	Hair products are 79% of his monthly budget.
Worgen Infiltrator	Common	Minion	General	Any	1	2	1	true	StealthIf you want to stop a worgen from infiltrating, just yell, "No! Bad boy!"
Wrath	Common	Spell		Druid	2	-1	-1	true	Choose One - Deal 3 damage to a minion; or 1 damage and draw a card.The talk around the Ratchet Inn is that this card is too good and should be a Legendary.
Wretched Tiller	Common	Minion	General	Any	1	1	1	true	Whenever this minion attacks, deal 2 damage to the enemy hero.If you ever tried to plow permafrost, you’d be wretched, too.
Young Dragonhawk	Common	Minion	Beast	Any	1	1	1	true	WindfuryThey were the inspiration for the championship Taurenball team: The Dragonhawks.
Youthful Brewmaster	Common	Minion	General	Any	2	3	2	true	Battlecry: Return a friendly minion from the battlefield to your hand.His youthful enthusiasm doesn’t always equal excellence in his brews.   Don’t drink the Mogu Stout!
Zealous Initiate	Common	Minion	General	Any	1	1	1	true	Deathrattle: Give a random friendly minion +1/+1.Ok, Initiate. You need to settle down and do your job. In this case, that means die so someone else can get a minor buff.
Zoobot	Common	Minion	Mech	Any	3	3	3	true	Battlecry: Give a random friendly Beast, Dragon and Murloc +1/+1.The Murloc is taking the picture.
Abominable Bowman	Epic	Minion	General	Hunter	7	6	7	true	Deathrattle: Summon a random friendly Beast that died this game.Frosty the Bowman... was an angry hateful soul... with a fresh hewn bow and a missing nose...
Ancient Harbinger	Epic	Minion	General	Any	6	4	6	true	At the start of your turn, put a 10-Cost minion from your deck into your hand."honey, can u run down to the store and pick up some 10 cost minions? thx"
Ancient of Lore	Epic	Minion	General	Druid	7	5	5	true	Choose One - Draw a card; or Restore 5 Health.Go ahead, carve your initials in him.
